ENCORI,NPInter_4.0,RNAInter,TargetSCAN_8.0,miRDB_6.0,miRTarBase_9.0,miRWalk,0
False,False,False,False,False,False,True,6494557
False,False,True,False,False,False,False,425707
False,False,False,False,True,False,False,297889
False,False,True,False,False,True,False,252458
False,True,False,False,False,False,False,109142
False,False,False,True,False,False,False,82868
False,False,False,False,False,True,False,61326
True,False,False,False,False,False,False,60718
False,False,True,False,False,False,True,41590
False,False,True,False,True,False,False,35851
False,False,False,False,True,False,True,34675
False,False,True,False,False,True,True,31555
False,False,True,False,True,True,False,26688
False,False,True,True,False,False,False,10222
False,False,False,False,False,True,True,6259
False,True,False,False,False,False,True,3994
False,False,True,True,True,False,False,3931
False,True,True,False,False,False,False,3597
False,False,False,True,True,False,False,3573
False,False,True,False,True,False,True,3092
False,False,True,False,True,True,True,2671
False,False,False,True,False,False,True,2371
False,False,True,True,False,True,False,2102
True,False,True,False,False,False,False,1938
False,False,False,False,True,True,False,1920
False,False,True,True,True,True,False,1103
False,False,True,True,False,False,True,1014
True,True,False,False,False,False,False,759
False,True,True,False,False,True,False,637
False,False,False,True,True,False,True,379
False,False,True,True,True,False,True,371
False,True,False,False,True,False,False,361
False,True,True,False,False,False,True,342
False,True,True,False,True,False,False,338
False,False,False,True,False,True,False,333
False,False,False,False,True,True,True,253
False,True,False,True,False,False,False,239
False,False,True,True,False,True,True,199
True,True,True,False,False,False,False,193
False,True,True,True,False,False,False,163
False,True,False,False,False,True,False,149
False,True,True,False,True,True,False,147
False,False,True,True,True,True,True,113
False,True,True,False,False,True,True,87
False,True,True,True,True,False,False,53
False,True,False,True,True,False,False,49
False,True,False,False,True,False,True,43
False,True,True,True,False,True,False,41
True,False,True,False,False,True,False,39
True,False,False,False,False,False,True,32
False,True,True,False,True,False,True,32
False,False,False,True,True,True,False,29
False,True,False,True,False,False,True,22
False,True,True,True,True,True,False,18
False,True,True,False,True,True,True,16
False,False,False,True,False,True,True,15
False,True,True,True,False,False,True,13
True,True,True,False,False,True,False,10
False,True,True,True,True,False,True,10
False,True,False,False,False,True,True,8
False,True,False,True,False,True,False,6
False,True,True,True,False,True,True,4
False,True,False,True,True,False,True,4
True,False,False,True,False,False,False,3
True,False,True,False,True,False,False,2
True,False,False,False,True,False,False,2
True,False,True,False,False,False,True,2
False,True,False,False,True,True,False,1
False,True,True,True,True,True,True,1
